"city","lat","lng","population","density","id"
"Boston",42.3280657985655,-71.0754792333288,4465966,5505,1840000455
"Springfield",42.1247657985655,-72.5297792333288,615728,1861,1840000466
"Worcester",42.2797657985655,-71.7981792333288,516483,1913,1840000434
"New Bedford",41.6789657985655,-70.9330792333288,149570,1840,1840003219
"Leominster",42.5301657985655,-71.7619792333288,118190,557,1840000437
"Cambridge",42.3851657985655,-71.1087792333288,117822,7115,1840000429
"East Chelmsford",42.6481657985655,-71.3119792333288,111311,3157,1840000426
"Brockton",42.0913657985655,-71.0144792333288,95740,1732,1840000467
"Quincy",42.2598657985655,-71.0089792333288,94389,2199,1840000461
"Lynn",42.4873657985655,-70.9566792333288,94201,3386,1840000409
"Fall River",41.7228657985655,-71.0917792333288,89618,1044,1840000497
"Newton",42.3408657985655,-71.1987792333288,88322,1912,1840000433
"Somerville",42.4000657985655,-71.0916792333288,81175,7602,1840003123
"Merrimac",42.7094657985655,-71.1528792333288,80022,4458,1840000408
"Framingham",42.3177657985655,-71.4270792333288,72846,1123,1840003131
"Haverhill",42.7930657985655,-71.0773792333288,63783,745,1840002450
"Waltham",42.3981657985655,-71.2325792333288,62597,1896,1840000428
"Malden",42.4397657985655,-71.0478792333288,60710,4646,1840000430
"Medford",42.4326657985655,-71.0989792333288,58290,2778,1840000431
"Taunton",41.9128657985655,-71.0845792333288,57327,473,1840003220
"Chicopee",42.1856657985655,-72.5621792333288,55186,930,1840000462
"North Chelsea",42.4281657985655,-70.9942792333288,53400,3614,1840000457
"Peabody",42.5427657985655,-70.9627792333288,53004,1260,1840000414
"Methuen ",42.7432657985655,-71.1791792333288,50518,878,1840031195
"Everett",42.4156657985655,-71.0447792333288,46275,5230,1840000425
"Attleboro",41.9403657985655,-71.2852792333288,45023,649,1840000496
"Salem",42.5221657985655,-70.8923792333288,43350,2018,1840000410
"Pittsfield",42.4609657985655,-73.2507792333288,42514,405,1840003116
"Beverly",42.5773657985655,-70.8529792333288,42062,1076,1840000411
"Westfield",42.1474657985655,-72.7463792333288,41303,344,1840000463
"Fitchburg",42.6004657985655,-71.8058792333288,40576,563,1840000435
"Woburn",42.4961657985655,-71.1445792333288,40297,1229,1840003124
"Holyoke",42.2217657985655,-72.6313792333288,40161,732,1840000465
"Chelsea",42.4051657985655,-71.0227792333288,39878,6939,1840000456
"Marlboro",42.3586657985655,-71.5370792333288,39663,734,1840000427
"Watertown ",42.3792657985655,-71.1676792333288,35749,3451,1840031198
"Gloucester",42.6352657985655,-70.6799792333288,30291,446,1840000412
"Northampton",42.3358657985655,-72.6647792333288,28552,321,1840000451
"Melrose",42.4648657985655,-71.0492792333288,28054,2312,1840000432
"Gardner",42.5937657985655,-71.9770792333288,20605,360,1840000436
"Newburyport",42.8216657985655,-70.8780792333288,18197,841,1840000413
"North Adams",42.6936657985655,-73.1068792333288,12897,244,1840000423
"South Yarmouth",41.6784657985655,-70.1907792333288,10598,588,1840004766
"Mansfield ",42.0317657985655,-71.2082792333288,8043,1126,1840073506
"Middleboro ",41.9037657985655,-70.9162792333288,7564,743,1840073513
"Whitinsville",42.1238657985655,-71.6590792333288,7435,788,1840003153
"West Concord",42.4609657985655,-71.3937792333288,7294,834,1840003133
"Pinehurst",42.5426657985655,-71.2241792333288,6997,724,1840004521
"Cochituate",42.3382657985655,-71.3478792333288,6730,682,1840003129
"West Yarmouth",41.6588657985655,-70.2389792333288,6388,368,1840003246
"East Falmouth",41.5800657985655,-70.5458792333288,6163,437,1840003237
"North Scituate",42.2213657985655,-70.7554792333288,5372,552,1840004680
"Bliss Corner",41.6145657985655,-70.9323792333288,5272,1016,1840003221
"Yarmouth Port",41.7183657985655,-70.2127792333288,5202,333,1840003248
"Ocean Bluff Brant Rock",42.1098657985655,-70.6528792333288,4843,859,1840073527
"North Westport",41.6632657985655,-71.0829792333288,4787,356,1840031244
"East Harwich",41.7173657985655,-70.0241792333288,4756,228,1840003238
"Smith Mills",41.6524657985655,-70.9824792333288,4706,389,1840004736
"Raynham ",41.9419657985655,-71.0333792333288,4561,417,1840004735
"The Pinehills",41.9038657985655,-70.5868792333288,4531,428,1840039566
"Millis Clicquot",42.1740657985655,-71.3446792333288,4455,548,1840073515
"North Plymouth",41.9819657985655,-70.6791792333288,4258,1319,1840004679
"North Pembroke",42.1081657985655,-70.7725792333288,4159,358,1840004678
"Northwest Harwich",41.7009657985655,-70.0928792333288,4123,199,1840073524
"Sagamore",41.7934657985655,-70.5234792333288,3792,439,1840004763
"Forestdale",41.6938657985655,-70.4984792333288,3744,379,1840003241
"Turners ",42.6067657985655,-72.5475792333288,3682,747,1840004519
